,Title,Published_date,Views,Likes,Favorites,Comments,Month
301,Golf STATS: Strokes Gained Explained,2019-06-07,8510,168,0,32,Jun
302,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,629,44,0,5,May
303,What I Learned From My Three Degrees,2019-05-17,1310,60,0,12,May
304,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25724,1062,0,66,May
305,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1284,39,0,2,May
306,Should You Learn R for Data Science?,2019-04-25,22548,574,0,72,Apr
307,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,46799,846,0,321,Apr
308,Work From Home Data Scientist: Day in the Life,2019-04-12,28372,755,0,101,Apr
309,Where to Look for Data Science Jobs,2019-03-29,3053,116,0,9,Mar
310,Data Science: Startup vs. Large Corporation,2019-03-21,2417,76,0,4,Mar
311,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,6508,172,0,26,Mar
312,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4316,180,0,15,Mar
313,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,839,32,0,12,Mar
314,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1584,33,0,8,Mar
315,Where YOU Should Start With Data Science Projects,2019-02-19,18957,371,0,20,Feb
316,Watch This Before Applying to Data Science Jobs,2019-02-04,1535,64,0,13,Feb
317,My Top 5 Data Science Resources for 2019,2019-01-05,3790,120,0,15,Jan
318,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,861,34,0,6,Dec
319,The Best Way to Predict NBA Minutes Played,2018-12-11,5536,126,0,15,Dec
320,Demystifying Data Science Roles,2018-11-30,1171,52,0,5,Nov
321,How to Simulate NBA Games in Python,2018-11-19,18971,415,0,50,Nov
322,Should You Get A Masters in Data Science?,2018-11-14,20904,303,0,133,Nov
323,How I Became A Data Scientist From a Business Background,2018-11-12,6665,198,0,23,Nov
324,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,9324,195,0,17,Jul
325,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,19535,296,0,41,Nov
