,Title,Published_date,Views,Likes,Favorites,Comments,Month
74,Why Is Data Engineering So HOT Right Now?,2021-11-26,29917,1100,0,134,Nov
75,Is Data Science Dying?,2021-11-19,126770,3902,0,359,Nov
76,7 Incredible Books That Transformed My Health and My Life,2021-11-12,8659,403,0,113,Nov
77,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05,3665,203,0,44,Nov
78,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29,14686,306,0,39,Oct
79,ML Ops: What is it REALLY?,2021-10-22,7339,284,0,66,Oct
80,Business Skills for Data Science: What are they REALLY?,2021-10-18,7013,303,0,50,Oct
81,#66DaysOfData Round 3 Live Event! (feat. @statquest),2021-10-12,2223,121,0,5,Oct
82,Roasting My First Data Science Project (Common Project Mistakes),2021-10-08,6086,284,0,64,Oct
83,Is Data Visualization Important for Data Science? (A Data Scientist's Perspective),2021-08-20,13160,534,0,108,Aug
84,Project Presentation - Expectations vs. Reality (funny) #shorts,2021-08-07,10514,436,0,32,Aug
85,Data Science Project - Expectations vs Reality (funny) #shorts,2021-08-06,42654,1632,0,32,Aug
86,How I Learned to Learn.,2021-07-31,51140,2364,0,209,Jul
87,Is Spotify Shuffle Really Random? #Shorts,2021-07-21,11424,616,0,51,Jul
88,I Eat a Papaya Live on Stream (Plus Q&A for 150K Subs!),2021-07-16,2477,92,0,30,Jul
89,Why are APIs Important for Data Science?,2021-07-09,10997,480,0,95,Jul
90,Is Your Phone REALLY Listening to You?,2021-07-03,5296,278,0,116,Jul
91,Kaggle vs Github - Which is Best for Your Data Science Portfolio?,2021-06-25,18101,653,0,123,Jun
92,#66DaysOfData - 3 Reasons to Start!,2021-06-18,4148,227,0,39,Jun
93,#66DaysOfData - What is it? #shorts,2021-06-11,9662,400,0,54,Jun
94,A Quick Data Science Project Tip! #SHORTS,2021-06-03,17130,1034,0,89,Jun
95,Discouraged with Data Science? - Watch THIS video.,2021-05-28,7585,390,0,195,May
96,How Data Science Projects Pay Off,2021-05-22,11181,614,0,146,May
97,How I Use Data to Optimize My Life | What I Collect & How I Analyze It,2021-05-14,10840,491,0,134,May
98,What is a lambda function (python)? #shorts,2021-05-13,16358,977,0,49,May
99,Why Kaggle Should Be Your Favorite Data Science Resource #shorts,2021-05-07,34578,1763,0,63,May
100,What is Pandas? (Data & Data Science) #shorts,2021-04-30,25971,1325,0,85,Apr
101,The 7 Biggest Data Science  Beginner Mistakes,2021-04-23,77847,3428,0,285,Apr
102,Data Scientist Reacts: REAL Data Science Job Application Data,2021-04-16,23761,700,0,85,Apr
103,Why You Probably Won't Become a Data Scientist,2021-04-09,139465,4031,0,470,Apr
104,How to Go From Data Analyst to Data Scientist,2021-04-02,56510,1592,0,179,Apr
105,Why I Have 2 Offices for Data Science & Content Creation,2021-03-26,4056,140,0,92,Mar
106,MARCH MADNESS - Will My Machine Learning Model Beat Your Bracket?,2021-03-19,18903,361,0,108,Mar
107,My Regrets as a Data Science Student,2021-03-12,24186,880,0,112,Mar
108,My Daily Battle With Time - Will I Win? [Vlog],2021-03-08,3866,192,0,83,Mar
109,What is the Future of my Comment Leaderboard Project?,2021-02-26,5626,201,0,81,Feb
110,How to Build a Website  - Building my ULTIMATE Portfolio Website,2021-02-19,7199,177,0,51,Feb
111,Why I Quit Data Science,2021-02-12,105868,2353,0,346,Feb
112,🌶 Hot Topics in Tech: Data Science Explained #SHORTS,2021-01-29,10890,565,0,116,Jan
113,How I Balance Data Science and Content Creation (7 Secrets),2021-01-23,7066,294,0,124,Jan
114,Kaggle Project From Scratch - Part 3 (Advanced Graphs & Gender Imbalance Analysis),2021-01-16,10631,317,0,53,Jan
115,Kaggle Project From Scratch - Part 2 (Exploratory Data Analysis),2021-01-08,24933,721,0,134,Jan
116,Kaggle Project From Scratch - Part 1 (Data Science Profession Survey),2021-01-02,41531,1186,0,148,Jan
117,What is the #66DaysOfData?,2020-12-26,71467,2334,0,200,Dec
118,How I Would Learn Data Science in 2021 (What Has Changed?),2020-12-19,131972,5940,0,486,Dec
119,Unboxing the Ultimate Z by HP Data Science Package (FIRST EVER HP Workstation w/ Data Science Stack),2020-12-10,11304,402,0,131,Dec
120,I Built the FIRST EVER YouTube Subscriber LEADERBOARD,2020-12-07,23982,723,0,324,Dec
121,7 Things to Look For in a Masters For Data Science (feat. @TinaHuang1),2020-11-20,29022,874,0,160,Nov
122,6 Lessons from #66DaysOfData,2020-11-13,6800,337,0,93,Nov
123,100K Channel Update + AMA Stream!,2020-11-12,2327,127,0,21,Nov
124,Find a Data Science Project With These 3 Techniques,2020-11-06,17235,734,0,104,Nov
125,How I Chose My Masters Degree for Breaking into Data Science,2020-10-30,28688,699,0,153,Oct
126,git for Data Science Made Simple... (Hopefully),2020-10-23,22655,936,0,90,Oct
127,The PODCAST you might have asked for?,2020-10-19,2133,92,0,44,Oct
128,Dealing with Doubt in Data Science (My Impostor Syndrome Story),2020-10-16,6862,450,0,113,Oct
129,Advice from a Data Analytics CEO (@How to Get an Analytics Job) - KNN EP. 17,2020-10-14,14961,433,0,45,Oct
130,Data Science Resume Round-Up With @Tina Huang  | Episode 3,2020-10-12,7364,152,0,60,Oct
131,5 Unusual Data Science Projects that Will Land You a Job,2020-10-09,12922,595,0,83,Oct
132,Sh*t Data Scientists Say (Parody),2020-10-05,9952,580,0,144,Oct
133,5 Proven Strategies to Break into a Data Science Job,2020-10-02,8666,364,0,93,Oct
134,Why Data-Viz is so Darn Important (@Story by Data | Kate Strachnyi) - KNN EP. 16,2020-09-30,7125,285,0,59,Sep
135,Data Science Resume Round-Up With @TinaHuang1  - Episode 1,2020-09-28,12207,291,0,69,Sep
136,5 Essential Data Science Projects for Your Portfolio,2020-09-26,75344,3150,0,207,Sep
137,His Startup Will Land You a Data Science Job (Jeremie Harris) - KNN EP. 15,2020-09-23,5279,200,0,64,Sep
138,Reviewing Your Data Science Projects - Episode 21(The Cleanest Portfolio),2020-09-21,15027,545,0,60,Sep
139,"Hedge Funds, Startups, and Data Science Oh my! (@DataLeap) - KNN EP. 14",2020-09-18,7669,254,0,34,Sep
140,Land a Data Science Job in a Different Country (Vijay Pravin Maharajan) - KNN EP. 13,2020-09-16,5180,197,0,56,Sep
141,Reviewing Your Data Science Projects - Episode 20 (Bootcamp Capstone),2020-09-14,4474,156,0,35,Sep
142,The 5 Pillars of Success I Live By,2020-09-11,10218,868,0,152,Sep
143,Fast Cars to Faster Data (Alex Castrounis) - KNN EP. 12,2020-09-09,1915,78,0,25,Sep
144,Reviewing Your Data Science Projects - Episode 19 (One Big Improvement),2020-09-07,4091,166,0,43,Sep
145,How I Learn Data Science Through Studying Other People's Code | #66DaysOfData,2020-09-04,12161,746,0,145,Sep
146,How She Dominated the FAANG Data Science Interview  (@TinaHuang1 ) - KNN EP. 11,2020-09-02,18168,575,0,87,Sep
147,Reviewing Your Data Science Projects - Episode 18 (Job-Worthy GitHub),2020-08-31,18546,796,0,93,Aug
148,Why I'm Starting Data Science Over Again.,2020-08-29,50917,2586,0,442,Aug
149,Inside the Mind of the Ultimate Kaggle Grandmaster (@Abhishek Thakur ) - KNN EP. 10,2020-08-26,15591,639,0,78,Aug
150,Reviewing Your Data Science Projects - Episode 17 (Best Portfolio Website Yet?),2020-08-24,14407,504,0,53,Aug
151,Don't Buy My Course..,2020-08-21,7369,358,0,146,Aug
152,How a Subscriber Landed a Data Analyst Job in Less Than a Year (Ray Ojel) - KNN EP. 09,2020-08-19,29218,1102,0,166,Aug
153,Reviewing Your Projects - Episode 16 (Project Review for Beginners),2020-08-17,3306,127,0,38,Aug
154,Data Scientist Dismantles the YouTube Algorithm.,2020-08-14,6457,536,0,108,Aug
155,Sports Analytics & Streaming Data Science on Twitch (Nick Wan) - KNN EP. 08,2020-08-12,5193,188,0,37,Aug
156,Reviewing Your Data Science Projects - Episode 15 (Quant Finance),2020-08-10,14484,447,0,53,Aug
157,The Plagiarism Problem in Data Science,2020-08-07,13169,628,0,145,Aug
158,Interview with the Director of AI Research @ NVIDIA (Anima Anandkumar) - KNN EP. 07,2020-08-05,14773,608,0,89,Aug
159,Reviewing Your Data Science Projects - Episode 14 [Deep Learning Focus],2020-08-03,5144,191,0,56,Aug
160,My First Data Science Contracting Side-Gig (How I Did It),2020-07-31,11667,582,0,90,Jul
161,Do You Have a Data Science Mentor? (@Danny Ma) - KNN EP. 06,2020-07-30,2379,116,0,34,Jul
162,Reviewing Your Data Science Projects - Episode 13 (BONUS LinkedIn Review),2020-07-27,5968,258,0,112,Jul
163,Building a Deep Learning BEAST (NVIDIA TITAN RTX + RYZEN 3900X),2020-07-24,8441,249,0,200,Jul
